Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.461,0.494,0.525,0.551,0.575,0.595,0.613,0.628,0.641,0.653,0.721,0.309,0.386,0.42,0.438,0.449,0.457,0.463,0.467,0.47,0.472,0.479
Mean,0.461,0.494,0.525,0.551,0.575,0.595,0.613,0.628,0.641,0.653,0.721,0.309,0.386,0.42,0.438,0.449,0.457,0.463,0.467,0.47,0.472,0.479
