Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.153,0.164,0.173,0.181,0.189,0.196,0.203,0.21,0.216,0.221,0.269,0.061,0.086,0.099,0.108,0.115,0.12,0.123,0.126,0.129,0.131,0.142
Fold2,0.154,0.162,0.173,0.182,0.19,0.197,0.204,0.211,0.216,0.222,0.27,0.064,0.087,0.101,0.111,0.116,0.121,0.125,0.128,0.131,0.133,0.144
Fold3,0.15,0.161,0.171,0.18,0.189,0.197,0.204,0.211,0.216,0.222,0.27,0.059,0.082,0.095,0.104,0.11,0.115,0.119,0.123,0.125,0.127,0.139
Fold4,0.155,0.164,0.173,0.182,0.189,0.196,0.203,0.209,0.215,0.221,0.269,0.063,0.086,0.1,0.109,0.115,0.119,0.123,0.126,0.128,0.131,0.142
Fold5,0.156,0.166,0.176,0.184,0.192,0.2,0.206,0.213,0.218,0.224,0.272,0.065,0.09,0.105,0.114,0.12,0.125,0.129,0.132,0.135,0.137,0.147
Mean,0.154,0.163,0.173,0.182,0.19,0.197,0.204,0.21,0.216,0.222,0.27,0.063,0.086,0.1,0.109,0.115,0.12,0.124,0.127,0.13,0.132,0.143
