Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.696,0.693,0.696,0.701,0.708,0.715,0.723,0.731,0.739,0.747,0.808,0.599,0.664,0.683,0.692,0.698,0.701,0.703,0.705,0.706,0.707,0.711
Mean,0.696,0.693,0.696,0.701,0.708,0.715,0.723,0.731,0.739,0.747,0.808,0.599,0.664,0.683,0.692,0.698,0.701,0.703,0.705,0.706,0.707,0.711
