Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.669,0.674,0.697,0.735,0.75,0.762,0.775,0.783,0.785,0.794,0.811,0.635,0.679,0.709,0.73,0.734,0.736,0.739,0.741,0.741,0.743,0.744
Fold3,0.611,0.627,0.654,0.676,0.701,0.714,0.729,0.741,0.746,0.753,0.779,0.586,0.65,0.675,0.691,0.696,0.698,0.702,0.704,0.706,0.706,0.708
Fold4,0.588,0.617,0.649,0.681,0.696,0.706,0.725,0.731,0.736,0.741,0.766,0.554,0.624,0.656,0.677,0.681,0.684,0.686,0.687,0.688,0.688,0.69
Fold5,0.611,0.631,0.657,0.679,0.7,0.72,0.739,0.749,0.753,0.762,0.785,0.573,0.631,0.656,0.667,0.674,0.681,0.686,0.686,0.686,0.688,0.691
Mean,0.62,0.637,0.664,0.693,0.712,0.726,0.742,0.751,0.755,0.762,0.785,0.587,0.646,0.674,0.691,0.696,0.7,0.703,0.705,0.705,0.706,0.709
