Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.532,0.556,0.559,0.565,0.572,0.578,0.582,0.587,0.593,0.6,0.649,0.497,0.574,0.592,0.604,0.611,0.619,0.621,0.623,0.624,0.625,0.63
Fold2,0.514,0.533,0.539,0.547,0.55,0.555,0.562,0.567,0.573,0.581,0.64,0.484,0.566,0.587,0.6,0.604,0.609,0.612,0.613,0.615,0.616,0.621
Fold3,0.527,0.535,0.527,0.526,0.53,0.535,0.539,0.548,0.554,0.559,0.617,0.496,0.549,0.576,0.586,0.591,0.594,0.596,0.599,0.601,0.602,0.608
Fold4,0.505,0.502,0.501,0.503,0.509,0.517,0.526,0.532,0.542,0.55,0.615,0.469,0.528,0.551,0.56,0.567,0.573,0.577,0.581,0.582,0.584,0.59
Fold5,0.51,0.517,0.522,0.528,0.526,0.534,0.543,0.552,0.561,0.565,0.627,0.475,0.537,0.561,0.573,0.58,0.584,0.587,0.59,0.592,0.593,0.599
Mean,0.518,0.529,0.53,0.534,0.538,0.544,0.55,0.557,0.565,0.571,0.629,0.484,0.551,0.574,0.584,0.59,0.596,0.599,0.601,0.603,0.604,0.61
