Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.663,0.665,0.678,0.692,0.705,0.718,0.729,0.74,0.748,0.756,0.804,0.54,0.609,0.634,0.646,0.653,0.658,0.661,0.663,0.664,0.665,0.669
Mean,0.663,0.665,0.678,0.692,0.705,0.718,0.729,0.74,0.748,0.756,0.804,0.54,0.609,0.634,0.646,0.653,0.658,0.661,0.663,0.664,0.665,0.669
