Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.435,0.447,0.44,0.447,0.454,0.457,0.465,0.474,0.483,0.489,0.559,0.381,0.461,0.483,0.497,0.502,0.507,0.511,0.514,0.515,0.517,0.524
Fold2,0.449,0.438,0.442,0.448,0.452,0.454,0.462,0.47,0.479,0.487,0.56,0.401,0.454,0.477,0.49,0.501,0.506,0.51,0.512,0.515,0.517,0.523
Fold3,0.405,0.403,0.41,0.416,0.425,0.427,0.443,0.449,0.458,0.465,0.548,0.363,0.416,0.441,0.457,0.466,0.471,0.478,0.48,0.481,0.484,0.493
Fold4,0.417,0.427,0.432,0.44,0.448,0.454,0.46,0.468,0.48,0.488,0.563,0.381,0.45,0.477,0.492,0.503,0.506,0.51,0.511,0.514,0.515,0.524
Fold5,0.387,0.395,0.399,0.403,0.409,0.419,0.424,0.431,0.44,0.448,0.528,0.342,0.417,0.444,0.458,0.468,0.475,0.478,0.479,0.482,0.484,0.492
Mean,0.419,0.422,0.425,0.431,0.438,0.442,0.451,0.459,0.468,0.475,0.552,0.374,0.44,0.464,0.479,0.488,0.493,0.497,0.499,0.502,0.503,0.511
