Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.415,0.411,0.411,0.414,0.419,0.422,0.429,0.434,0.438,0.443,0.479,0.282,0.338,0.358,0.37,0.379,0.382,0.387,0.39,0.392,0.394,0.401
Fold2,0.404,0.395,0.4,0.403,0.407,0.41,0.414,0.418,0.422,0.427,0.463,0.262,0.308,0.33,0.343,0.349,0.353,0.356,0.359,0.362,0.364,0.371
Fold3,0.412,0.404,0.405,0.408,0.41,0.415,0.419,0.422,0.426,0.43,0.463,0.274,0.325,0.349,0.361,0.366,0.372,0.375,0.378,0.38,0.382,0.39
Fold4,0.415,0.408,0.406,0.408,0.411,0.415,0.418,0.423,0.426,0.431,0.465,0.285,0.342,0.362,0.373,0.379,0.384,0.386,0.388,0.39,0.392,0.4
Fold5,0.421,0.417,0.419,0.42,0.424,0.427,0.431,0.434,0.437,0.441,0.471,0.286,0.338,0.362,0.373,0.38,0.386,0.389,0.392,0.394,0.396,0.403
Mean,0.413,0.407,0.408,0.411,0.414,0.418,0.422,0.426,0.43,0.434,0.468,0.278,0.33,0.352,0.364,0.371,0.375,0.379,0.382,0.384,0.386,0.393
