Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.411,0.418,0.423,0.432,0.434,0.448,0.456,0.466,0.472,0.479,0.555,0.357,0.426,0.451,0.469,0.476,0.485,0.489,0.493,0.495,0.496,0.504
Fold2,0.403,0.412,0.42,0.428,0.439,0.45,0.46,0.466,0.475,0.483,0.557,0.351,0.4,0.433,0.452,0.463,0.471,0.475,0.476,0.478,0.481,0.487
Fold3,0.409,0.415,0.421,0.419,0.423,0.43,0.435,0.442,0.45,0.457,0.542,0.366,0.414,0.439,0.451,0.461,0.467,0.471,0.474,0.476,0.478,0.488
Fold4,0.352,0.365,0.377,0.392,0.404,0.413,0.419,0.425,0.432,0.439,0.528,0.307,0.369,0.4,0.415,0.429,0.435,0.437,0.439,0.441,0.442,0.453
Fold5,0.38,0.391,0.4,0.407,0.414,0.42,0.428,0.437,0.446,0.453,0.529,0.336,0.4,0.429,0.445,0.455,0.46,0.466,0.47,0.471,0.472,0.481
Mean,0.391,0.4,0.408,0.416,0.423,0.432,0.44,0.447,0.455,0.462,0.542,0.343,0.402,0.431,0.446,0.457,0.463,0.468,0.47,0.472,0.474,0.483
