Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.159,0.167,0.175,0.182,0.191,0.198,0.204,0.21,0.217,0.222,0.269,0.064,0.087,0.101,0.11,0.118,0.122,0.126,0.129,0.132,0.134,0.145
Fold2,0.153,0.165,0.174,0.183,0.19,0.197,0.204,0.209,0.216,0.221,0.268,0.061,0.087,0.1,0.11,0.115,0.119,0.123,0.125,0.128,0.13,0.14
Fold3,0.155,0.161,0.17,0.177,0.186,0.193,0.201,0.206,0.211,0.217,0.265,0.068,0.089,0.101,0.11,0.118,0.123,0.128,0.13,0.132,0.134,0.145
Fold4,0.15,0.156,0.167,0.175,0.183,0.19,0.197,0.204,0.211,0.217,0.264,0.056,0.078,0.093,0.102,0.11,0.114,0.117,0.121,0.123,0.126,0.135
Fold5,0.142,0.155,0.165,0.176,0.184,0.192,0.198,0.204,0.21,0.216,0.266,0.056,0.077,0.093,0.103,0.11,0.114,0.118,0.121,0.124,0.126,0.137
Mean,0.152,0.161,0.17,0.179,0.187,0.194,0.201,0.207,0.213,0.218,0.266,0.061,0.084,0.097,0.107,0.114,0.118,0.122,0.125,0.128,0.13,0.14
