Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.686,0.691,0.703,0.716,0.73,0.742,0.752,0.761,0.77,0.776,0.82,0.576,0.646,0.671,0.683,0.69,0.694,0.696,0.698,0.699,0.7,0.703
Mean,0.686,0.691,0.703,0.716,0.73,0.742,0.752,0.761,0.77,0.776,0.82,0.576,0.646,0.671,0.683,0.69,0.694,0.696,0.698,0.699,0.7,0.703
