Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.705,0.703,0.709,0.718,0.729,0.74,0.75,0.759,0.767,0.774,0.818,0.61,0.671,0.691,0.701,0.707,0.711,0.714,0.716,0.717,0.718,0.721
Mean,0.705,0.703,0.709,0.718,0.729,0.74,0.75,0.759,0.767,0.774,0.818,0.61,0.671,0.691,0.701,0.707,0.711,0.714,0.716,0.717,0.718,0.721
