Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.472,0.476,0.491,0.503,0.514,0.524,0.534,0.544,0.553,0.562,0.641,0.347,0.417,0.449,0.464,0.474,0.479,0.484,0.487,0.489,0.49,0.498
Fold2,0.479,0.482,0.486,0.497,0.511,0.521,0.533,0.542,0.552,0.561,0.64,0.359,0.429,0.456,0.472,0.483,0.489,0.493,0.496,0.498,0.5,0.508
Fold3,0.482,0.484,0.497,0.507,0.518,0.53,0.54,0.55,0.559,0.568,0.646,0.362,0.433,0.462,0.475,0.485,0.491,0.495,0.499,0.501,0.502,0.51
Fold4,0.465,0.476,0.489,0.501,0.513,0.522,0.533,0.542,0.551,0.56,0.637,0.337,0.416,0.443,0.459,0.468,0.474,0.479,0.482,0.484,0.487,0.494
Fold5,0.503,0.498,0.504,0.516,0.527,0.538,0.546,0.558,0.569,0.578,0.654,0.387,0.453,0.485,0.5,0.509,0.514,0.518,0.521,0.524,0.525,0.533
Mean,0.48,0.483,0.493,0.505,0.517,0.527,0.537,0.547,0.557,0.566,0.644,0.359,0.429,0.459,0.474,0.484,0.489,0.494,0.497,0.499,0.501,0.509
