Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.722,0.758,0.789,0.811,0.827,0.839,0.849,0.856,0.862,0.867,0.881,0.635,0.717,0.745,0.755,0.76,0.763,0.764,0.765,0.765,0.766,0.767
Mean,0.722,0.758,0.789,0.811,0.827,0.839,0.849,0.856,0.862,0.867,0.881,0.635,0.717,0.745,0.755,0.76,0.763,0.764,0.765,0.765,0.766,0.767
