Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.49,0.498,0.508,0.521,0.532,0.541,0.551,0.562,0.572,0.582,0.655,0.37,0.444,0.474,0.49,0.499,0.505,0.509,0.512,0.514,0.516,0.523
Fold2,0.494,0.499,0.51,0.52,0.532,0.542,0.552,0.562,0.571,0.58,0.654,0.371,0.446,0.477,0.492,0.501,0.507,0.511,0.514,0.516,0.518,0.525
Fold3,0.496,0.5,0.51,0.52,0.53,0.541,0.551,0.561,0.57,0.58,0.655,0.378,0.453,0.481,0.495,0.504,0.51,0.514,0.517,0.519,0.521,0.528
Fold4,0.498,0.503,0.513,0.523,0.533,0.542,0.552,0.561,0.571,0.581,0.657,0.375,0.448,0.477,0.493,0.502,0.507,0.511,0.514,0.516,0.518,0.525
Fold5,0.511,0.508,0.517,0.527,0.537,0.548,0.558,0.568,0.578,0.588,0.664,0.391,0.46,0.488,0.503,0.512,0.518,0.522,0.525,0.527,0.528,0.536
Mean,0.498,0.501,0.511,0.522,0.533,0.543,0.553,0.563,0.572,0.582,0.657,0.377,0.45,0.479,0.494,0.504,0.509,0.513,0.516,0.518,0.52,0.527
