Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.688,0.685,0.693,0.701,0.712,0.721,0.731,0.741,0.751,0.759,0.817,0.566,0.632,0.655,0.666,0.672,0.676,0.679,0.68,0.682,0.683,0.687
Mean,0.688,0.685,0.693,0.701,0.712,0.721,0.731,0.741,0.751,0.759,0.817,0.566,0.632,0.655,0.666,0.672,0.676,0.679,0.68,0.682,0.683,0.687
