Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.398,0.394,0.395,0.401,0.406,0.41,0.415,0.42,0.425,0.429,0.469,0.241,0.294,0.314,0.326,0.334,0.339,0.343,0.345,0.347,0.349,0.357
Fold2,0.403,0.397,0.399,0.402,0.407,0.411,0.416,0.421,0.424,0.429,0.469,0.252,0.303,0.325,0.336,0.344,0.349,0.353,0.355,0.357,0.359,0.367
Fold3,0.415,0.406,0.408,0.41,0.415,0.419,0.423,0.427,0.431,0.436,0.474,0.257,0.309,0.331,0.342,0.35,0.354,0.357,0.36,0.362,0.364,0.372
Fold4,0.407,0.4,0.4,0.404,0.408,0.412,0.416,0.42,0.424,0.429,0.468,0.252,0.303,0.324,0.336,0.343,0.348,0.351,0.353,0.355,0.357,0.365
Fold5,0.402,0.395,0.396,0.401,0.406,0.41,0.415,0.419,0.424,0.429,0.47,0.244,0.295,0.315,0.327,0.334,0.339,0.343,0.345,0.348,0.349,0.358
Mean,0.405,0.398,0.4,0.404,0.408,0.413,0.417,0.421,0.426,0.43,0.47,0.249,0.301,0.322,0.333,0.341,0.346,0.349,0.352,0.354,0.356,0.364
