Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.5,0.52,0.543,0.562,0.579,0.587,0.608,0.624,0.631,0.641,0.685,0.481,0.526,0.545,0.559,0.568,0.57,0.577,0.58,0.583,0.587,0.592
Fold2,0.431,0.477,0.505,0.534,0.565,0.579,0.601,0.617,0.627,0.639,0.669,0.401,0.465,0.493,0.507,0.522,0.527,0.536,0.541,0.543,0.545,0.548
Fold3,0.451,0.458,0.485,0.496,0.516,0.529,0.54,0.558,0.571,0.58,0.632,0.436,0.462,0.483,0.493,0.507,0.514,0.518,0.522,0.525,0.527,0.536
Fold4,0.558,0.563,0.592,0.61,0.637,0.656,0.667,0.68,0.691,0.701,0.735,0.516,0.57,0.604,0.614,0.625,0.628,0.633,0.637,0.638,0.641,0.643
Fold5,0.446,0.454,0.472,0.498,0.523,0.542,0.565,0.584,0.599,0.611,0.659,0.414,0.459,0.486,0.499,0.512,0.517,0.523,0.528,0.53,0.533,0.541
Mean,0.477,0.495,0.519,0.54,0.564,0.579,0.596,0.612,0.624,0.635,0.676,0.45,0.496,0.522,0.534,0.547,0.551,0.557,0.562,0.564,0.566,0.572
