Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.443,0.437,0.44,0.447,0.451,0.456,0.46,0.465,0.47,0.474,0.511,0.29,0.35,0.375,0.388,0.395,0.4,0.404,0.406,0.408,0.41,0.417
Fold2,0.44,0.436,0.438,0.442,0.447,0.452,0.457,0.462,0.466,0.47,0.507,0.288,0.35,0.374,0.387,0.395,0.401,0.405,0.408,0.41,0.411,0.418
Fold3,0.455,0.444,0.443,0.447,0.452,0.456,0.46,0.464,0.468,0.473,0.51,0.306,0.365,0.388,0.401,0.408,0.413,0.416,0.419,0.421,0.423,0.43
Fold4,0.451,0.442,0.443,0.447,0.452,0.457,0.461,0.466,0.47,0.474,0.511,0.302,0.36,0.384,0.398,0.406,0.411,0.414,0.417,0.419,0.421,0.428
Fold5,0.446,0.438,0.439,0.442,0.448,0.453,0.458,0.463,0.467,0.472,0.511,0.298,0.355,0.378,0.39,0.398,0.403,0.407,0.41,0.412,0.413,0.421
Mean,0.447,0.44,0.441,0.445,0.45,0.455,0.459,0.464,0.468,0.473,0.51,0.297,0.356,0.38,0.393,0.4,0.405,0.409,0.412,0.414,0.416,0.423
