Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.652,0.656,0.67,0.681,0.691,0.701,0.712,0.722,0.732,0.741,0.802,0.531,0.601,0.629,0.642,0.648,0.652,0.655,0.657,0.658,0.659,0.663
Mean,0.652,0.656,0.67,0.681,0.691,0.701,0.712,0.722,0.732,0.741,0.802,0.531,0.601,0.629,0.642,0.648,0.652,0.655,0.657,0.658,0.659,0.663
