Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.157,0.166,0.175,0.183,0.191,0.198,0.204,0.21,0.216,0.222,0.269,0.085,0.108,0.122,0.131,0.137,0.142,0.147,0.15,0.152,0.154,0.166
Fold2,0.156,0.168,0.177,0.185,0.192,0.198,0.204,0.21,0.215,0.221,0.263,0.084,0.107,0.12,0.129,0.135,0.14,0.144,0.146,0.149,0.151,0.16
Fold3,0.166,0.174,0.183,0.191,0.199,0.204,0.21,0.215,0.221,0.226,0.272,0.093,0.115,0.13,0.14,0.146,0.15,0.154,0.157,0.16,0.162,0.174
Fold4,0.172,0.182,0.19,0.197,0.203,0.208,0.213,0.218,0.223,0.228,0.27,0.089,0.113,0.126,0.136,0.142,0.146,0.149,0.152,0.154,0.156,0.165
Fold5,0.171,0.178,0.184,0.191,0.198,0.203,0.21,0.215,0.221,0.227,0.274,0.092,0.117,0.129,0.139,0.145,0.15,0.154,0.157,0.16,0.162,0.174
Mean,0.164,0.174,0.182,0.189,0.196,0.202,0.208,0.214,0.219,0.225,0.27,0.089,0.112,0.125,0.135,0.141,0.146,0.149,0.152,0.155,0.157,0.168
