Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.389,0.416,0.433,0.438,0.442,0.447,0.451,0.455,0.463,0.471,0.534,0.369,0.435,0.462,0.472,0.479,0.484,0.488,0.492,0.496,0.498,0.505
Fold2,0.531,0.519,0.518,0.521,0.526,0.529,0.531,0.535,0.54,0.545,0.604,0.496,0.544,0.566,0.58,0.587,0.59,0.593,0.596,0.598,0.599,0.605
Fold3,0.464,0.472,0.47,0.468,0.474,0.477,0.48,0.488,0.493,0.5,0.555,0.434,0.5,0.525,0.529,0.535,0.538,0.542,0.546,0.547,0.549,0.557
Fold4,0.485,0.465,0.463,0.465,0.47,0.48,0.486,0.493,0.5,0.505,0.574,0.46,0.507,0.532,0.546,0.551,0.557,0.56,0.563,0.565,0.566,0.573
Fold5,0.497,0.492,0.494,0.498,0.509,0.515,0.522,0.527,0.533,0.538,0.604,0.466,0.525,0.548,0.562,0.57,0.577,0.58,0.581,0.582,0.583,0.59
Mean,0.473,0.473,0.476,0.478,0.484,0.49,0.494,0.499,0.506,0.512,0.574,0.445,0.502,0.526,0.538,0.544,0.55,0.553,0.555,0.558,0.559,0.566
