Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.377,0.415,0.452,0.485,0.517,0.543,0.567,0.588,0.607,0.622,0.679,0.316,0.394,0.434,0.455,0.468,0.476,0.482,0.487,0.49,0.492,0.497
Fold2,0.355,0.396,0.432,0.467,0.5,0.529,0.553,0.574,0.591,0.607,0.668,0.296,0.372,0.41,0.431,0.447,0.457,0.462,0.466,0.469,0.472,0.478
Fold3,0.336,0.376,0.413,0.445,0.477,0.507,0.532,0.553,0.572,0.588,0.652,0.277,0.35,0.385,0.405,0.418,0.428,0.435,0.44,0.443,0.446,0.454
Fold4,0.418,0.451,0.486,0.518,0.545,0.571,0.593,0.613,0.63,0.644,0.698,0.357,0.432,0.469,0.49,0.502,0.511,0.516,0.52,0.523,0.525,0.53
Fold5,0.321,0.358,0.4,0.437,0.472,0.499,0.526,0.547,0.565,0.582,0.649,0.259,0.326,0.363,0.386,0.403,0.412,0.419,0.423,0.426,0.429,0.437
Mean,0.361,0.399,0.437,0.47,0.502,0.53,0.554,0.575,0.593,0.609,0.669,0.301,0.375,0.412,0.433,0.448,0.457,0.463,0.467,0.47,0.473,0.479
