Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.579,0.646,0.699,0.738,0.766,0.786,0.8,0.81,0.817,0.821,0.83,0.476,0.576,0.614,0.633,0.643,0.647,0.65,0.652,0.653,0.653,0.654
Mean,0.579,0.646,0.699,0.738,0.766,0.786,0.8,0.81,0.817,0.821,0.83,0.476,0.576,0.614,0.633,0.643,0.647,0.65,0.652,0.653,0.653,0.654
