Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.628,0.665,0.684,0.713,0.738,0.746,0.76,0.769,0.773,0.776,0.802,0.583,0.657,0.676,0.686,0.701,0.704,0.708,0.711,0.711,0.712,0.713
Fold2,0.686,0.675,0.698,0.712,0.729,0.745,0.759,0.765,0.77,0.777,0.802,0.65,0.688,0.715,0.725,0.728,0.733,0.736,0.738,0.74,0.741,0.743
Fold3,0.626,0.643,0.665,0.692,0.71,0.727,0.736,0.747,0.753,0.76,0.785,0.605,0.656,0.692,0.708,0.712,0.714,0.716,0.717,0.718,0.719,0.721
Fold4,0.624,0.639,0.661,0.681,0.712,0.723,0.735,0.75,0.759,0.762,0.782,0.586,0.653,0.672,0.683,0.698,0.703,0.704,0.708,0.708,0.708,0.71
Fold5,0.594,0.618,0.631,0.661,0.679,0.713,0.725,0.735,0.74,0.745,0.767,0.573,0.64,0.657,0.67,0.675,0.686,0.689,0.692,0.692,0.693,0.695
Mean,0.632,0.648,0.668,0.692,0.713,0.731,0.743,0.753,0.759,0.764,0.788,0.599,0.659,0.683,0.694,0.703,0.708,0.711,0.713,0.714,0.715,0.716
