Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.534,0.546,0.549,0.551,0.552,0.555,0.562,0.566,0.571,0.575,0.628,0.5,0.561,0.583,0.595,0.598,0.601,0.605,0.609,0.611,0.612,0.618
Fold2,0.505,0.515,0.514,0.525,0.532,0.536,0.544,0.548,0.554,0.559,0.62,0.472,0.54,0.556,0.565,0.576,0.582,0.586,0.588,0.589,0.591,0.595
Fold3,0.512,0.509,0.507,0.512,0.516,0.52,0.527,0.529,0.537,0.541,0.603,0.484,0.54,0.555,0.566,0.574,0.577,0.583,0.585,0.587,0.589,0.595
Fold4,0.508,0.491,0.495,0.5,0.503,0.504,0.509,0.515,0.524,0.532,0.605,0.475,0.516,0.545,0.557,0.564,0.57,0.572,0.574,0.577,0.579,0.585
Fold5,0.551,0.536,0.539,0.535,0.537,0.542,0.548,0.555,0.563,0.569,0.634,0.522,0.58,0.598,0.609,0.616,0.617,0.62,0.622,0.624,0.626,0.633
Mean,0.522,0.52,0.521,0.525,0.528,0.531,0.538,0.543,0.55,0.555,0.618,0.491,0.547,0.567,0.578,0.586,0.59,0.593,0.596,0.598,0.599,0.605
