Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.853,0.87,0.889,0.904,0.915,0.92,0.924,0.927,0.929,0.93,0.931,0.761,0.797,0.809,0.811,0.814,0.818,0.819,0.819,0.819,0.819,0.819
Fold2,0.878,0.903,0.916,0.923,0.93,0.933,0.937,0.939,0.94,0.941,0.943,0.87,0.905,0.915,0.917,0.918,0.918,0.919,0.919,0.919,0.92,0.92
Fold3,0.899,0.917,0.928,0.937,0.943,0.947,0.948,0.949,0.951,0.951,0.953,0.894,0.923,0.927,0.931,0.932,0.935,0.935,0.935,0.935,0.935,0.935
Fold4,0.793,0.829,0.866,0.878,0.887,0.889,0.892,0.893,0.896,0.896,0.902,0.788,0.839,0.856,0.86,0.864,0.864,0.864,0.865,0.866,0.866,0.867
Fold5,0.792,0.833,0.87,0.885,0.89,0.898,0.904,0.907,0.908,0.909,0.911,0.782,0.835,0.855,0.866,0.866,0.867,0.867,0.867,0.867,0.867,0.867
Mean,0.843,0.87,0.894,0.906,0.913,0.918,0.921,0.923,0.925,0.926,0.928,0.819,0.86,0.872,0.877,0.879,0.88,0.881,0.881,0.881,0.881,0.882
