Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.441,0.461,0.479,0.496,0.513,0.53,0.543,0.557,0.571,0.582,0.666,0.335,0.412,0.445,0.462,0.474,0.481,0.484,0.488,0.489,0.491,0.499
Fold2,0.406,0.423,0.439,0.458,0.475,0.494,0.511,0.526,0.541,0.555,0.644,0.314,0.386,0.417,0.435,0.445,0.454,0.459,0.462,0.466,0.468,0.476
Fold3,0.468,0.477,0.497,0.514,0.531,0.544,0.56,0.573,0.587,0.6,0.68,0.378,0.453,0.489,0.505,0.516,0.521,0.525,0.528,0.53,0.533,0.539
Fold4,0.392,0.415,0.438,0.459,0.479,0.496,0.512,0.528,0.544,0.557,0.646,0.292,0.371,0.407,0.425,0.437,0.445,0.45,0.454,0.456,0.459,0.467
Fold5,0.403,0.423,0.444,0.464,0.483,0.502,0.518,0.533,0.547,0.56,0.648,0.311,0.381,0.417,0.434,0.445,0.453,0.458,0.462,0.465,0.468,0.476
Mean,0.422,0.44,0.459,0.478,0.496,0.513,0.529,0.543,0.558,0.571,0.657,0.326,0.401,0.435,0.452,0.463,0.471,0.475,0.479,0.481,0.484,0.491
