Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.713,0.754,0.791,0.822,0.842,0.856,0.864,0.871,0.875,0.878,0.883,0.633,0.718,0.745,0.757,0.763,0.765,0.766,0.767,0.768,0.768,0.768
Mean,0.713,0.754,0.791,0.822,0.842,0.856,0.864,0.871,0.875,0.878,0.883,0.633,0.718,0.745,0.757,0.763,0.765,0.766,0.767,0.768,0.768,0.768
