Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.402,0.401,0.406,0.411,0.416,0.421,0.426,0.431,0.436,0.44,0.478,0.253,0.31,0.336,0.349,0.357,0.362,0.367,0.369,0.372,0.373,0.381
Fold2,0.408,0.408,0.411,0.415,0.42,0.425,0.429,0.433,0.438,0.442,0.479,0.259,0.32,0.345,0.357,0.365,0.37,0.374,0.376,0.379,0.38,0.388
Fold3,0.404,0.4,0.404,0.409,0.415,0.419,0.424,0.428,0.433,0.437,0.474,0.254,0.311,0.335,0.348,0.356,0.361,0.365,0.368,0.37,0.372,0.379
Fold4,0.408,0.403,0.407,0.411,0.416,0.421,0.425,0.429,0.433,0.437,0.475,0.265,0.324,0.349,0.362,0.371,0.377,0.381,0.383,0.386,0.387,0.395
Fold5,0.402,0.398,0.401,0.406,0.41,0.415,0.419,0.424,0.428,0.433,0.472,0.258,0.314,0.338,0.353,0.361,0.366,0.369,0.372,0.374,0.376,0.384
Mean,0.405,0.402,0.406,0.41,0.415,0.42,0.425,0.429,0.434,0.438,0.476,0.258,0.316,0.341,0.354,0.362,0.367,0.371,0.374,0.376,0.378,0.385
