Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.379,0.392,0.405,0.416,0.427,0.432,0.44,0.451,0.458,0.465,0.544,0.327,0.393,0.426,0.444,0.453,0.457,0.46,0.464,0.467,0.469,0.479
Fold2,0.399,0.428,0.428,0.432,0.436,0.445,0.452,0.461,0.467,0.476,0.557,0.354,0.441,0.461,0.472,0.48,0.486,0.489,0.492,0.493,0.496,0.504
Fold3,0.36,0.395,0.405,0.413,0.419,0.428,0.438,0.447,0.453,0.462,0.545,0.319,0.403,0.431,0.442,0.45,0.458,0.465,0.469,0.47,0.471,0.48
Fold4,0.402,0.405,0.412,0.415,0.425,0.429,0.437,0.443,0.456,0.465,0.551,0.36,0.431,0.457,0.47,0.483,0.485,0.49,0.491,0.494,0.495,0.504
Fold5,0.393,0.405,0.417,0.424,0.43,0.437,0.446,0.449,0.457,0.466,0.544,0.354,0.417,0.445,0.462,0.471,0.478,0.481,0.483,0.485,0.488,0.496
Mean,0.387,0.405,0.413,0.42,0.428,0.434,0.443,0.45,0.458,0.467,0.548,0.343,0.417,0.444,0.458,0.467,0.473,0.477,0.48,0.482,0.484,0.493
