Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.258,0.282,0.305,0.328,0.346,0.364,0.383,0.4,0.416,0.432,0.541,0.178,0.238,0.267,0.289,0.301,0.309,0.317,0.322,0.325,0.328,0.341
Fold2,0.276,0.295,0.316,0.336,0.354,0.372,0.39,0.407,0.425,0.438,0.546,0.201,0.255,0.286,0.302,0.314,0.323,0.33,0.335,0.339,0.342,0.355
Fold3,0.272,0.285,0.306,0.325,0.344,0.361,0.38,0.397,0.413,0.428,0.537,0.202,0.252,0.282,0.301,0.314,0.321,0.328,0.333,0.337,0.34,0.353
Fold4,0.255,0.277,0.299,0.325,0.346,0.366,0.383,0.399,0.416,0.431,0.541,0.179,0.233,0.264,0.286,0.299,0.308,0.314,0.318,0.322,0.324,0.338
Fold5,0.268,0.284,0.307,0.329,0.35,0.37,0.387,0.404,0.419,0.434,0.544,0.19,0.246,0.277,0.296,0.308,0.317,0.322,0.327,0.331,0.334,0.348
Mean,0.266,0.285,0.307,0.329,0.348,0.367,0.385,0.402,0.418,0.432,0.542,0.19,0.245,0.275,0.295,0.307,0.316,0.322,0.327,0.331,0.334,0.347
