Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.681,0.687,0.707,0.733,0.757,0.773,0.79,0.801,0.81,0.817,0.828,0.667,0.711,0.734,0.749,0.756,0.761,0.763,0.765,0.766,0.766,0.767
Fold2,0.599,0.617,0.629,0.662,0.695,0.716,0.739,0.754,0.764,0.773,0.786,0.587,0.65,0.668,0.684,0.694,0.699,0.702,0.705,0.705,0.707,0.709
Fold3,0.653,0.673,0.689,0.713,0.736,0.758,0.776,0.79,0.801,0.808,0.819,0.646,0.708,0.735,0.745,0.75,0.754,0.757,0.758,0.76,0.761,0.761
Fold4,0.589,0.613,0.645,0.677,0.704,0.731,0.747,0.763,0.772,0.777,0.784,0.574,0.627,0.658,0.674,0.683,0.69,0.693,0.697,0.698,0.699,0.699
Fold5,0.629,0.651,0.668,0.696,0.719,0.74,0.762,0.776,0.786,0.792,0.806,0.617,0.687,0.715,0.727,0.735,0.739,0.742,0.743,0.744,0.744,0.745
Mean,0.63,0.648,0.668,0.696,0.722,0.744,0.763,0.777,0.787,0.793,0.805,0.618,0.677,0.702,0.716,0.723,0.728,0.732,0.733,0.734,0.735,0.736
