Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.494,0.512,0.528,0.542,0.559,0.573,0.586,0.599,0.612,0.624,0.701,0.388,0.469,0.5,0.516,0.525,0.53,0.535,0.538,0.54,0.542,0.549
Fold2,0.5,0.513,0.525,0.542,0.556,0.57,0.584,0.598,0.61,0.622,0.699,0.402,0.48,0.509,0.526,0.535,0.542,0.546,0.549,0.551,0.553,0.559
Fold3,0.496,0.51,0.522,0.539,0.557,0.572,0.585,0.599,0.611,0.623,0.698,0.395,0.471,0.5,0.515,0.526,0.532,0.536,0.54,0.542,0.544,0.551
Fold4,0.487,0.498,0.512,0.53,0.548,0.563,0.578,0.591,0.603,0.614,0.693,0.378,0.456,0.486,0.504,0.514,0.521,0.526,0.529,0.531,0.533,0.539
Fold5,0.512,0.526,0.544,0.56,0.576,0.589,0.602,0.615,0.627,0.638,0.711,0.408,0.488,0.523,0.538,0.548,0.554,0.558,0.56,0.563,0.564,0.57
Mean,0.498,0.512,0.526,0.543,0.559,0.573,0.587,0.6,0.613,0.624,0.7,0.394,0.473,0.503,0.52,0.53,0.536,0.54,0.543,0.546,0.547,0.553
