Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.521,0.532,0.546,0.56,0.575,0.589,0.603,0.616,0.628,0.639,0.712,0.421,0.501,0.533,0.548,0.558,0.563,0.567,0.57,0.572,0.573,0.578
Fold2,0.526,0.533,0.545,0.561,0.576,0.59,0.603,0.615,0.627,0.639,0.712,0.43,0.507,0.536,0.552,0.561,0.567,0.57,0.573,0.575,0.577,0.583
Fold3,0.511,0.52,0.535,0.55,0.565,0.579,0.592,0.605,0.618,0.63,0.705,0.411,0.486,0.517,0.534,0.542,0.548,0.552,0.555,0.557,0.559,0.565
Fold4,0.513,0.523,0.538,0.553,0.569,0.584,0.597,0.61,0.622,0.634,0.706,0.411,0.489,0.522,0.537,0.547,0.553,0.556,0.559,0.561,0.563,0.568
Fold5,0.519,0.532,0.544,0.557,0.572,0.586,0.601,0.614,0.626,0.638,0.713,0.419,0.501,0.529,0.544,0.552,0.558,0.562,0.565,0.567,0.569,0.575
Mean,0.518,0.528,0.542,0.556,0.572,0.586,0.599,0.612,0.624,0.636,0.71,0.418,0.497,0.527,0.543,0.552,0.558,0.562,0.564,0.566,0.568,0.574
