Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.879,0.883,0.896,0.91,0.921,0.927,0.929,0.93,0.931,0.931,0.939,0.815,0.837,0.847,0.852,0.857,0.858,0.859,0.859,0.859,0.859,0.859
Fold2,0.91,0.924,0.924,0.926,0.933,0.939,0.942,0.942,0.945,0.948,0.951,0.903,0.922,0.924,0.928,0.929,0.929,0.93,0.93,0.931,0.932,0.932
Fold3,0.89,0.919,0.926,0.93,0.936,0.94,0.945,0.946,0.948,0.948,0.949,0.886,0.921,0.924,0.926,0.928,0.928,0.93,0.93,0.93,0.93,0.93
Fold4,0.871,0.894,0.91,0.923,0.925,0.927,0.929,0.933,0.933,0.934,0.937,0.864,0.9,0.91,0.915,0.915,0.915,0.916,0.916,0.916,0.916,0.916
Fold5,0.851,0.886,0.905,0.916,0.924,0.928,0.93,0.932,0.932,0.933,0.933,0.844,0.887,0.898,0.902,0.903,0.906,0.906,0.906,0.906,0.906,0.906
Mean,0.88,0.901,0.912,0.921,0.928,0.932,0.935,0.937,0.938,0.939,0.942,0.862,0.893,0.901,0.905,0.907,0.907,0.908,0.908,0.909,0.909,0.909
