Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.406,0.423,0.442,0.462,0.476,0.493,0.509,0.524,0.539,0.553,0.644,0.301,0.37,0.403,0.422,0.432,0.439,0.444,0.448,0.451,0.454,0.463
Fold2,0.414,0.422,0.438,0.459,0.479,0.495,0.511,0.525,0.538,0.552,0.642,0.315,0.389,0.419,0.436,0.449,0.456,0.46,0.463,0.466,0.468,0.477
Fold3,0.396,0.414,0.433,0.453,0.473,0.491,0.507,0.524,0.538,0.551,0.639,0.302,0.376,0.409,0.426,0.438,0.446,0.451,0.455,0.458,0.46,0.468
Fold4,0.339,0.362,0.386,0.405,0.422,0.438,0.454,0.471,0.486,0.5,0.603,0.242,0.313,0.348,0.366,0.378,0.386,0.39,0.395,0.398,0.401,0.412
Fold5,0.398,0.418,0.437,0.454,0.474,0.491,0.505,0.521,0.535,0.549,0.638,0.303,0.378,0.412,0.43,0.443,0.449,0.454,0.458,0.461,0.463,0.471
Mean,0.391,0.408,0.427,0.447,0.465,0.481,0.497,0.513,0.527,0.541,0.633,0.293,0.365,0.398,0.416,0.428,0.435,0.44,0.444,0.447,0.449,0.458
