Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.422,0.431,0.45,0.468,0.485,0.502,0.517,0.532,0.546,0.56,0.649,0.323,0.392,0.425,0.443,0.454,0.461,0.466,0.469,0.472,0.474,0.483
Fold2,0.423,0.431,0.449,0.468,0.485,0.503,0.518,0.533,0.548,0.561,0.649,0.329,0.398,0.431,0.449,0.459,0.467,0.472,0.476,0.479,0.48,0.488
Fold3,0.398,0.409,0.426,0.445,0.462,0.48,0.497,0.511,0.526,0.54,0.632,0.302,0.367,0.399,0.418,0.43,0.437,0.442,0.446,0.449,0.451,0.46
Fold4,0.415,0.429,0.447,0.464,0.48,0.497,0.513,0.528,0.543,0.557,0.645,0.313,0.387,0.419,0.435,0.445,0.453,0.458,0.462,0.465,0.467,0.476
Fold5,0.415,0.428,0.446,0.464,0.482,0.499,0.516,0.529,0.544,0.557,0.647,0.313,0.387,0.418,0.437,0.448,0.455,0.46,0.464,0.467,0.469,0.477
Mean,0.415,0.426,0.444,0.462,0.479,0.496,0.512,0.527,0.541,0.555,0.644,0.316,0.386,0.418,0.436,0.447,0.455,0.46,0.463,0.466,0.468,0.477
