Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.408,0.405,0.412,0.412,0.421,0.43,0.441,0.45,0.458,0.469,0.551,0.354,0.402,0.429,0.438,0.445,0.454,0.46,0.463,0.465,0.468,0.479
Fold2,0.43,0.434,0.439,0.441,0.447,0.455,0.463,0.468,0.475,0.482,0.562,0.389,0.457,0.485,0.497,0.501,0.506,0.509,0.511,0.513,0.514,0.524
Fold3,0.382,0.393,0.402,0.413,0.42,0.43,0.435,0.444,0.452,0.461,0.54,0.342,0.406,0.431,0.446,0.457,0.464,0.467,0.47,0.475,0.477,0.484
Fold4,0.405,0.415,0.421,0.43,0.435,0.441,0.449,0.462,0.471,0.483,0.563,0.363,0.437,0.46,0.474,0.485,0.49,0.495,0.497,0.499,0.503,0.51
Fold5,0.392,0.4,0.393,0.4,0.408,0.411,0.418,0.425,0.438,0.446,0.527,0.345,0.419,0.438,0.454,0.463,0.465,0.47,0.473,0.477,0.478,0.487
Mean,0.403,0.41,0.413,0.419,0.426,0.434,0.441,0.45,0.459,0.468,0.549,0.359,0.424,0.448,0.462,0.47,0.476,0.48,0.483,0.486,0.488,0.497
