Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.448,0.443,0.449,0.454,0.456,0.46,0.463,0.467,0.473,0.476,0.511,0.278,0.336,0.363,0.378,0.384,0.388,0.391,0.393,0.395,0.397,0.405
Fold2,0.443,0.444,0.445,0.448,0.453,0.457,0.461,0.466,0.47,0.474,0.511,0.274,0.335,0.358,0.369,0.378,0.382,0.385,0.388,0.39,0.392,0.4
Fold3,0.457,0.441,0.442,0.449,0.455,0.458,0.462,0.467,0.472,0.476,0.512,0.299,0.349,0.375,0.389,0.397,0.402,0.405,0.408,0.41,0.412,0.419
Fold4,0.456,0.449,0.448,0.451,0.455,0.458,0.462,0.467,0.472,0.476,0.511,0.295,0.352,0.374,0.384,0.392,0.397,0.4,0.403,0.405,0.406,0.414
Fold5,0.45,0.439,0.44,0.444,0.45,0.456,0.461,0.466,0.47,0.474,0.511,0.283,0.335,0.356,0.369,0.377,0.383,0.387,0.389,0.391,0.393,0.401
Mean,0.451,0.443,0.445,0.449,0.454,0.458,0.462,0.466,0.471,0.475,0.511,0.286,0.341,0.365,0.378,0.385,0.39,0.393,0.396,0.399,0.4,0.408
