Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.697,0.702,0.714,0.727,0.739,0.751,0.761,0.769,0.778,0.784,0.826,0.582,0.651,0.676,0.687,0.693,0.696,0.699,0.7,0.702,0.703,0.706
Mean,0.697,0.702,0.714,0.727,0.739,0.751,0.761,0.769,0.778,0.784,0.826,0.582,0.651,0.676,0.687,0.693,0.696,0.699,0.7,0.702,0.703,0.706
