Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.673,0.687,0.701,0.725,0.747,0.759,0.766,0.776,0.783,0.787,0.808,0.622,0.689,0.71,0.72,0.729,0.731,0.734,0.735,0.735,0.736,0.738
Fold2,0.641,0.656,0.677,0.698,0.716,0.731,0.741,0.755,0.761,0.769,0.79,0.599,0.666,0.685,0.699,0.707,0.711,0.712,0.714,0.715,0.717,0.719
Fold3,0.62,0.635,0.664,0.684,0.704,0.717,0.725,0.728,0.734,0.74,0.767,0.586,0.65,0.684,0.698,0.704,0.71,0.71,0.71,0.712,0.713,0.714
Fold4,0.684,0.68,0.685,0.714,0.733,0.746,0.755,0.77,0.779,0.781,0.804,0.65,0.701,0.713,0.728,0.737,0.74,0.742,0.743,0.745,0.745,0.748
Fold5,0.675,0.684,0.699,0.72,0.737,0.751,0.763,0.771,0.78,0.793,0.814,0.624,0.685,0.704,0.72,0.725,0.729,0.731,0.732,0.733,0.736,0.737
Mean,0.659,0.668,0.685,0.708,0.727,0.741,0.75,0.76,0.767,0.774,0.797,0.616,0.678,0.699,0.713,0.72,0.724,0.726,0.727,0.728,0.73,0.731
