Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.464,0.455,0.456,0.46,0.464,0.47,0.474,0.479,0.483,0.488,0.526,0.301,0.357,0.381,0.393,0.401,0.406,0.41,0.412,0.415,0.416,0.424
Fold2,0.467,0.455,0.458,0.463,0.468,0.473,0.478,0.482,0.487,0.491,0.527,0.308,0.362,0.385,0.399,0.406,0.411,0.415,0.418,0.42,0.422,0.429
Fold3,0.464,0.46,0.459,0.462,0.467,0.472,0.478,0.481,0.486,0.49,0.526,0.298,0.358,0.38,0.392,0.4,0.405,0.41,0.412,0.414,0.416,0.423
Fold4,0.471,0.457,0.459,0.462,0.467,0.471,0.475,0.48,0.484,0.488,0.527,0.308,0.363,0.387,0.4,0.408,0.413,0.416,0.419,0.421,0.423,0.431
Fold5,0.473,0.464,0.464,0.466,0.471,0.476,0.48,0.484,0.489,0.493,0.532,0.311,0.368,0.391,0.403,0.41,0.416,0.42,0.422,0.424,0.426,0.433
Mean,0.468,0.458,0.459,0.463,0.468,0.472,0.477,0.481,0.486,0.49,0.528,0.305,0.361,0.385,0.397,0.405,0.41,0.414,0.417,0.419,0.421,0.428
