Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.515,0.497,0.492,0.498,0.504,0.511,0.517,0.523,0.53,0.536,0.602,0.464,0.522,0.546,0.562,0.567,0.572,0.575,0.577,0.58,0.58,0.587
Fold2,0.467,0.476,0.488,0.494,0.5,0.505,0.51,0.515,0.52,0.527,0.595,0.416,0.479,0.506,0.52,0.528,0.534,0.536,0.538,0.54,0.541,0.547
Fold3,0.486,0.474,0.483,0.481,0.49,0.498,0.5,0.506,0.512,0.518,0.595,0.448,0.499,0.53,0.535,0.543,0.552,0.556,0.557,0.559,0.56,0.568
Fold4,0.476,0.461,0.461,0.471,0.482,0.489,0.495,0.503,0.512,0.52,0.592,0.434,0.482,0.502,0.516,0.525,0.528,0.531,0.535,0.537,0.539,0.549
Fold5,0.439,0.454,0.451,0.464,0.47,0.474,0.484,0.488,0.496,0.505,0.577,0.398,0.478,0.498,0.517,0.528,0.531,0.534,0.536,0.538,0.54,0.547
Mean,0.476,0.472,0.475,0.482,0.489,0.495,0.501,0.507,0.514,0.521,0.592,0.432,0.492,0.516,0.53,0.538,0.543,0.546,0.549,0.551,0.552,0.559
