Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.679,0.714,0.747,0.776,0.797,0.813,0.826,0.837,0.845,0.851,0.868,0.576,0.663,0.694,0.708,0.715,0.718,0.721,0.722,0.723,0.723,0.724
Mean,0.679,0.714,0.747,0.776,0.797,0.813,0.826,0.837,0.845,0.851,0.868,0.576,0.663,0.694,0.708,0.715,0.718,0.721,0.722,0.723,0.723,0.724
