Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.486,0.498,0.51,0.521,0.53,0.543,0.551,0.561,0.57,0.576,0.667,0.443,0.506,0.536,0.55,0.556,0.562,0.566,0.569,0.57,0.571,0.579
Fold2,0.51,0.508,0.518,0.528,0.533,0.543,0.549,0.555,0.564,0.572,0.671,0.478,0.537,0.566,0.58,0.584,0.589,0.591,0.593,0.595,0.597,0.604
Fold3,0.446,0.462,0.467,0.481,0.486,0.494,0.504,0.511,0.524,0.535,0.63,0.416,0.475,0.497,0.514,0.517,0.522,0.528,0.531,0.533,0.535,0.544
Fold4,0.448,0.461,0.471,0.48,0.487,0.497,0.506,0.517,0.523,0.536,0.631,0.41,0.484,0.51,0.524,0.531,0.535,0.539,0.543,0.544,0.546,0.554
Fold5,0.444,0.455,0.463,0.478,0.485,0.497,0.502,0.513,0.522,0.534,0.632,0.41,0.472,0.498,0.513,0.522,0.528,0.529,0.531,0.534,0.536,0.547
Mean,0.467,0.477,0.486,0.497,0.504,0.515,0.523,0.531,0.541,0.551,0.646,0.431,0.495,0.521,0.536,0.542,0.547,0.551,0.553,0.555,0.557,0.565
