Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.645,0.652,0.666,0.682,0.696,0.711,0.722,0.732,0.741,0.749,0.798,0.526,0.6,0.627,0.641,0.649,0.654,0.657,0.659,0.66,0.661,0.664
Mean,0.645,0.652,0.666,0.682,0.696,0.711,0.722,0.732,0.741,0.749,0.798,0.526,0.6,0.627,0.641,0.649,0.654,0.657,0.659,0.66,0.661,0.664
