Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.498,0.514,0.525,0.543,0.558,0.573,0.587,0.601,0.615,0.627,0.703,0.389,0.471,0.499,0.516,0.525,0.532,0.536,0.539,0.541,0.543,0.549
Fold2,0.513,0.514,0.529,0.545,0.559,0.573,0.588,0.602,0.614,0.625,0.7,0.416,0.489,0.518,0.535,0.543,0.55,0.554,0.557,0.558,0.56,0.567
Fold3,0.497,0.512,0.524,0.544,0.562,0.576,0.589,0.602,0.615,0.626,0.7,0.399,0.48,0.51,0.528,0.539,0.545,0.548,0.551,0.553,0.554,0.56
Fold4,0.491,0.506,0.522,0.538,0.55,0.565,0.578,0.591,0.604,0.616,0.695,0.388,0.467,0.497,0.515,0.523,0.529,0.533,0.537,0.539,0.541,0.547
Fold5,0.508,0.517,0.53,0.545,0.563,0.577,0.592,0.606,0.618,0.631,0.704,0.41,0.491,0.523,0.536,0.545,0.551,0.555,0.558,0.561,0.563,0.568
Mean,0.502,0.513,0.526,0.543,0.558,0.573,0.587,0.6,0.613,0.625,0.701,0.4,0.479,0.509,0.526,0.535,0.541,0.545,0.548,0.55,0.552,0.558
