Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
,0.761,0.803,0.835,0.856,0.869,0.879,0.886,0.89,0.894,0.896,0.901,0.691,0.771,0.794,0.802,0.806,0.808,0.809,0.809,0.809,0.809,0.81
Mean,0.761,0.803,0.835,0.856,0.869,0.879,0.886,0.89,0.894,0.896,0.901,0.691,0.771,0.794,0.802,0.806,0.808,0.809,0.809,0.809,0.809,0.81
