Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.52,0.531,0.548,0.561,0.576,0.59,0.603,0.616,0.629,0.64,0.712,0.417,0.495,0.528,0.544,0.553,0.559,0.562,0.565,0.567,0.569,0.574
Fold2,0.525,0.531,0.546,0.561,0.576,0.59,0.603,0.615,0.627,0.638,0.711,0.428,0.505,0.536,0.552,0.561,0.567,0.57,0.573,0.575,0.577,0.582
Fold3,0.513,0.521,0.538,0.553,0.569,0.584,0.598,0.609,0.621,0.633,0.707,0.412,0.488,0.519,0.534,0.545,0.551,0.555,0.557,0.559,0.561,0.567
Fold4,0.516,0.525,0.539,0.555,0.57,0.585,0.598,0.61,0.622,0.634,0.708,0.413,0.493,0.522,0.538,0.548,0.555,0.559,0.561,0.563,0.565,0.57
Fold5,0.522,0.531,0.542,0.557,0.573,0.587,0.602,0.615,0.627,0.638,0.712,0.418,0.497,0.527,0.543,0.553,0.559,0.562,0.565,0.567,0.569,0.574
Mean,0.519,0.528,0.542,0.557,0.573,0.587,0.601,0.613,0.625,0.636,0.71,0.418,0.495,0.526,0.542,0.552,0.558,0.562,0.564,0.566,0.568,0.573
