Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.455,0.459,0.464,0.472,0.48,0.488,0.495,0.503,0.511,0.518,0.578,0.303,0.371,0.4,0.415,0.423,0.43,0.433,0.437,0.439,0.441,0.449
Fold2,0.465,0.469,0.471,0.476,0.483,0.489,0.496,0.502,0.509,0.516,0.577,0.321,0.386,0.416,0.428,0.436,0.442,0.445,0.448,0.45,0.452,0.46
Fold3,0.446,0.449,0.46,0.467,0.476,0.484,0.49,0.499,0.507,0.514,0.576,0.305,0.374,0.403,0.416,0.426,0.431,0.434,0.437,0.439,0.441,0.449
Fold4,0.463,0.46,0.465,0.473,0.481,0.487,0.494,0.502,0.508,0.514,0.574,0.321,0.379,0.402,0.416,0.424,0.43,0.434,0.438,0.44,0.441,0.45
Fold5,0.455,0.456,0.466,0.475,0.483,0.49,0.497,0.505,0.512,0.519,0.582,0.318,0.384,0.411,0.425,0.436,0.441,0.444,0.447,0.45,0.452,0.46
Mean,0.457,0.459,0.465,0.473,0.481,0.488,0.495,0.502,0.509,0.516,0.578,0.314,0.379,0.406,0.42,0.429,0.435,0.438,0.441,0.444,0.446,0.454
