Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.479,0.476,0.482,0.489,0.498,0.506,0.513,0.519,0.525,0.533,0.591,0.338,0.403,0.43,0.444,0.453,0.458,0.463,0.465,0.468,0.47,0.477
Fold2,0.492,0.489,0.493,0.499,0.506,0.512,0.519,0.526,0.533,0.538,0.596,0.356,0.422,0.445,0.459,0.467,0.473,0.477,0.48,0.482,0.484,0.491
Fold3,0.487,0.485,0.492,0.499,0.505,0.511,0.517,0.524,0.529,0.535,0.592,0.351,0.417,0.443,0.456,0.464,0.469,0.473,0.476,0.478,0.479,0.487
Fold4,0.479,0.481,0.488,0.494,0.5,0.507,0.513,0.52,0.527,0.533,0.592,0.339,0.408,0.434,0.448,0.455,0.461,0.465,0.468,0.47,0.471,0.479
Fold5,0.474,0.474,0.481,0.489,0.497,0.504,0.512,0.519,0.526,0.533,0.592,0.332,0.397,0.424,0.439,0.448,0.453,0.457,0.46,0.463,0.464,0.472
Mean,0.482,0.481,0.487,0.494,0.501,0.508,0.515,0.521,0.528,0.534,0.593,0.343,0.409,0.435,0.449,0.458,0.463,0.467,0.47,0.472,0.474,0.481
