Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.41,0.41,0.418,0.427,0.434,0.441,0.449,0.457,0.464,0.473,0.549,0.363,0.424,0.449,0.462,0.471,0.476,0.481,0.484,0.487,0.489,0.497
Fold2,0.42,0.418,0.43,0.435,0.438,0.442,0.451,0.46,0.468,0.475,0.554,0.372,0.435,0.467,0.477,0.485,0.488,0.493,0.497,0.5,0.503,0.51
Fold3,0.395,0.391,0.396,0.404,0.416,0.422,0.426,0.435,0.446,0.452,0.54,0.357,0.416,0.44,0.455,0.464,0.469,0.473,0.477,0.48,0.482,0.491
Fold4,0.433,0.429,0.436,0.434,0.444,0.455,0.463,0.475,0.484,0.493,0.566,0.386,0.444,0.474,0.487,0.497,0.503,0.507,0.51,0.512,0.514,0.522
Fold5,0.384,0.4,0.403,0.416,0.421,0.428,0.435,0.448,0.454,0.458,0.535,0.333,0.409,0.432,0.448,0.453,0.458,0.463,0.468,0.47,0.471,0.48
Mean,0.408,0.41,0.417,0.423,0.43,0.438,0.445,0.455,0.463,0.47,0.549,0.362,0.426,0.452,0.466,0.474,0.479,0.483,0.487,0.49,0.492,0.5
