Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.155,0.163,0.174,0.183,0.191,0.198,0.205,0.211,0.217,0.223,0.272,0.063,0.086,0.1,0.109,0.116,0.121,0.125,0.127,0.13,0.132,0.143
Fold2,0.152,0.162,0.169,0.177,0.185,0.193,0.2,0.207,0.213,0.218,0.268,0.06,0.083,0.095,0.103,0.11,0.115,0.118,0.121,0.124,0.126,0.138
Fold3,0.151,0.16,0.17,0.178,0.186,0.193,0.2,0.207,0.213,0.219,0.267,0.063,0.084,0.098,0.107,0.113,0.117,0.121,0.124,0.127,0.128,0.14
Fold4,0.156,0.166,0.175,0.183,0.191,0.198,0.205,0.211,0.217,0.222,0.271,0.065,0.09,0.103,0.112,0.119,0.124,0.127,0.13,0.133,0.134,0.146
Fold5,0.159,0.166,0.176,0.185,0.192,0.199,0.206,0.212,0.218,0.224,0.274,0.065,0.089,0.103,0.114,0.12,0.125,0.129,0.132,0.134,0.136,0.148
Mean,0.154,0.163,0.173,0.181,0.189,0.196,0.203,0.21,0.216,0.221,0.27,0.063,0.086,0.1,0.109,0.115,0.12,0.124,0.127,0.129,0.131,0.143
