Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.153,0.163,0.172,0.18,0.188,0.194,0.2,0.207,0.213,0.219,0.268,0.059,0.085,0.098,0.107,0.114,0.119,0.122,0.125,0.128,0.13,0.142
Fold2,0.151,0.162,0.171,0.179,0.187,0.195,0.201,0.208,0.214,0.219,0.267,0.058,0.079,0.092,0.102,0.108,0.112,0.116,0.119,0.121,0.123,0.134
Fold3,0.145,0.156,0.162,0.171,0.178,0.186,0.193,0.2,0.205,0.211,0.26,0.062,0.084,0.097,0.105,0.113,0.118,0.122,0.125,0.128,0.13,0.141
Fold4,0.138,0.148,0.158,0.168,0.178,0.186,0.194,0.2,0.207,0.213,0.263,0.051,0.074,0.085,0.093,0.101,0.106,0.11,0.113,0.115,0.117,0.128
Fold5,0.147,0.159,0.167,0.175,0.184,0.191,0.198,0.206,0.211,0.217,0.266,0.057,0.082,0.096,0.104,0.111,0.116,0.12,0.123,0.125,0.127,0.138
Mean,0.147,0.158,0.166,0.175,0.183,0.19,0.197,0.204,0.21,0.216,0.265,0.057,0.081,0.094,0.102,0.109,0.114,0.118,0.121,0.123,0.125,0.136
