Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.418,0.413,0.417,0.419,0.424,0.427,0.431,0.436,0.439,0.444,0.478,0.276,0.33,0.354,0.366,0.373,0.377,0.381,0.384,0.386,0.388,0.395
Fold2,0.425,0.418,0.418,0.421,0.425,0.429,0.434,0.438,0.442,0.445,0.477,0.287,0.339,0.361,0.373,0.381,0.386,0.39,0.393,0.395,0.396,0.404
Fold3,0.433,0.423,0.424,0.427,0.43,0.435,0.439,0.442,0.446,0.449,0.481,0.296,0.35,0.372,0.384,0.392,0.397,0.4,0.403,0.405,0.407,0.414
Fold4,0.423,0.42,0.422,0.424,0.428,0.433,0.437,0.441,0.444,0.448,0.481,0.287,0.342,0.365,0.376,0.384,0.389,0.393,0.395,0.397,0.399,0.406
Fold5,0.429,0.421,0.418,0.42,0.423,0.428,0.432,0.436,0.439,0.444,0.478,0.293,0.348,0.369,0.381,0.388,0.393,0.396,0.399,0.401,0.403,0.41
Mean,0.426,0.419,0.42,0.422,0.426,0.431,0.435,0.439,0.442,0.446,0.479,0.288,0.342,0.364,0.376,0.384,0.389,0.392,0.395,0.397,0.398,0.406
