Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.501,0.488,0.487,0.484,0.485,0.49,0.493,0.498,0.503,0.509,0.568,0.479,0.515,0.532,0.544,0.552,0.56,0.562,0.564,0.567,0.569,0.577
Fold2,0.506,0.509,0.514,0.52,0.526,0.531,0.539,0.546,0.55,0.558,0.62,0.475,0.544,0.562,0.571,0.576,0.582,0.585,0.59,0.592,0.594,0.599
Fold3,0.476,0.498,0.501,0.501,0.497,0.5,0.506,0.508,0.512,0.519,0.582,0.442,0.515,0.532,0.543,0.547,0.552,0.557,0.558,0.559,0.561,0.569
Fold4,0.454,0.447,0.447,0.448,0.459,0.465,0.47,0.475,0.483,0.492,0.56,0.422,0.487,0.511,0.517,0.528,0.532,0.535,0.537,0.54,0.542,0.548
Fold5,0.446,0.459,0.462,0.471,0.476,0.481,0.488,0.495,0.501,0.506,0.572,0.422,0.487,0.508,0.523,0.531,0.535,0.538,0.539,0.541,0.542,0.55
Mean,0.477,0.48,0.482,0.485,0.489,0.494,0.499,0.504,0.51,0.517,0.58,0.448,0.509,0.529,0.54,0.547,0.552,0.555,0.558,0.56,0.562,0.569
