Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.418,0.425,0.424,0.435,0.442,0.451,0.462,0.471,0.48,0.488,0.562,0.366,0.442,0.462,0.474,0.482,0.49,0.494,0.498,0.501,0.502,0.51
Fold2,0.441,0.457,0.458,0.46,0.463,0.47,0.479,0.485,0.49,0.499,0.573,0.389,0.46,0.477,0.492,0.501,0.508,0.513,0.516,0.517,0.519,0.525
Fold3,0.403,0.402,0.413,0.423,0.427,0.434,0.445,0.456,0.465,0.473,0.557,0.36,0.413,0.442,0.459,0.468,0.474,0.477,0.482,0.485,0.486,0.496
Fold4,0.403,0.404,0.419,0.424,0.435,0.439,0.452,0.458,0.465,0.472,0.553,0.36,0.426,0.46,0.471,0.479,0.484,0.488,0.49,0.491,0.493,0.502
Fold5,0.418,0.423,0.434,0.439,0.441,0.447,0.453,0.459,0.468,0.475,0.55,0.369,0.431,0.466,0.477,0.485,0.491,0.495,0.498,0.499,0.501,0.51
Mean,0.417,0.422,0.43,0.436,0.442,0.448,0.458,0.466,0.474,0.481,0.559,0.369,0.434,0.461,0.475,0.483,0.489,0.493,0.497,0.499,0.5,0.509
