Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.155,0.163,0.172,0.182,0.188,0.195,0.202,0.209,0.215,0.22,0.269,0.063,0.086,0.101,0.111,0.116,0.12,0.124,0.128,0.131,0.133,0.143
Fold2,0.152,0.164,0.174,0.181,0.19,0.198,0.205,0.213,0.219,0.225,0.272,0.059,0.082,0.096,0.104,0.111,0.116,0.119,0.123,0.126,0.129,0.139
Fold3,0.143,0.153,0.164,0.172,0.181,0.188,0.194,0.201,0.207,0.213,0.26,0.056,0.077,0.092,0.102,0.108,0.113,0.116,0.119,0.122,0.124,0.135
Fold4,0.146,0.156,0.164,0.174,0.182,0.19,0.196,0.204,0.21,0.216,0.265,0.058,0.079,0.092,0.102,0.109,0.113,0.117,0.121,0.123,0.126,0.135
Fold5,0.143,0.158,0.169,0.178,0.186,0.194,0.201,0.207,0.213,0.219,0.269,0.053,0.079,0.094,0.103,0.11,0.116,0.12,0.123,0.126,0.128,0.139
Mean,0.148,0.159,0.168,0.177,0.185,0.193,0.2,0.207,0.213,0.218,0.267,0.057,0.081,0.095,0.104,0.111,0.116,0.119,0.123,0.126,0.128,0.138
