Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.44,0.442,0.443,0.446,0.45,0.451,0.46,0.47,0.476,0.482,0.557,0.39,0.449,0.474,0.491,0.497,0.502,0.508,0.511,0.512,0.513,0.521
Fold2,0.449,0.437,0.443,0.442,0.442,0.45,0.459,0.465,0.477,0.486,0.563,0.401,0.46,0.485,0.494,0.5,0.508,0.513,0.513,0.519,0.52,0.526
Fold3,0.396,0.403,0.411,0.424,0.433,0.434,0.441,0.449,0.461,0.471,0.553,0.354,0.41,0.436,0.457,0.468,0.472,0.474,0.477,0.481,0.485,0.492
Fold4,0.444,0.42,0.42,0.431,0.439,0.447,0.458,0.468,0.474,0.483,0.564,0.41,0.454,0.481,0.498,0.504,0.508,0.513,0.515,0.518,0.521,0.529
Fold5,0.421,0.419,0.417,0.415,0.421,0.425,0.431,0.444,0.453,0.461,0.541,0.375,0.447,0.469,0.478,0.488,0.493,0.498,0.502,0.504,0.506,0.513
Mean,0.43,0.424,0.427,0.432,0.437,0.442,0.45,0.459,0.468,0.477,0.556,0.386,0.444,0.469,0.484,0.491,0.497,0.501,0.504,0.507,0.509,0.516
