Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.639,0.65,0.687,0.713,0.729,0.743,0.758,0.764,0.77,0.777,0.798,0.603,0.654,0.686,0.697,0.705,0.708,0.712,0.713,0.713,0.715,0.717
Fold2,0.582,0.632,0.641,0.673,0.69,0.703,0.718,0.729,0.736,0.739,0.771,0.548,0.627,0.638,0.659,0.665,0.671,0.675,0.677,0.677,0.678,0.681
Fold3,0.622,0.628,0.653,0.678,0.692,0.706,0.715,0.724,0.73,0.736,0.766,0.58,0.637,0.667,0.683,0.689,0.694,0.697,0.699,0.7,0.701,0.703
Fold4,0.599,0.612,0.627,0.646,0.665,0.684,0.695,0.706,0.717,0.724,0.757,0.554,0.608,0.64,0.653,0.664,0.669,0.67,0.673,0.674,0.675,0.678
Fold5,0.582,0.591,0.634,0.664,0.682,0.699,0.715,0.72,0.726,0.732,0.762,0.548,0.618,0.65,0.662,0.671,0.676,0.679,0.681,0.682,0.682,0.685
Mean,0.605,0.623,0.648,0.675,0.692,0.707,0.72,0.729,0.736,0.742,0.771,0.566,0.629,0.656,0.671,0.679,0.684,0.687,0.689,0.689,0.69,0.693
