Measurement,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_20,mrr_1,mrr_2,mrr_3,mrr_4,mrr_5,mrr_6,mrr_7,mrr_8,mrr_9,mrr_10,mrr_20
Fold1,0.151,0.163,0.173,0.181,0.19,0.197,0.204,0.211,0.217,0.223,0.272,0.059,0.083,0.097,0.106,0.113,0.118,0.123,0.126,0.128,0.13,0.141
Fold2,0.148,0.158,0.169,0.179,0.187,0.194,0.202,0.208,0.214,0.22,0.27,0.058,0.081,0.096,0.105,0.112,0.117,0.12,0.123,0.126,0.128,0.139
Fold3,0.151,0.161,0.171,0.18,0.188,0.195,0.202,0.209,0.216,0.221,0.27,0.061,0.083,0.097,0.106,0.112,0.117,0.121,0.124,0.127,0.129,0.14
Fold4,0.158,0.169,0.177,0.184,0.191,0.198,0.205,0.212,0.218,0.223,0.271,0.062,0.089,0.103,0.112,0.118,0.123,0.127,0.129,0.132,0.133,0.144
Fold5,0.151,0.161,0.171,0.179,0.187,0.194,0.201,0.208,0.214,0.22,0.269,0.061,0.085,0.098,0.106,0.113,0.118,0.121,0.125,0.127,0.129,0.141
Mean,0.152,0.162,0.172,0.181,0.189,0.196,0.203,0.209,0.215,0.221,0.27,0.06,0.084,0.098,0.107,0.114,0.119,0.122,0.126,0.128,0.13,0.141
